Estimador,Coeficiente,Error Estandar,Valor t,P-value,¿Signif?
B0,7.321860758797246,0.08221849509623372,89.05369467328828,0,true
vistaalmar,0.19426036941912483,0.052646064878029544,3.6899314292376353,0,true
superficie,0.0016387833276140275,0.00030926014386785605,5.299044704300028,0,true
capacidad,0.14585849744875085,0.021937341301517293,6.6488684952293,0,true
aire_ac,0.2492519147431409,0.05071662667747118,4.914599630772782,0,true
wifi,0.09685711453457557,0.03842775187026247,2.5204991138065767,0.01,true
balcon,0.046142567343783636,0.03391224950740278,1.3606460206572577,0.17,false
terraza,0.09287695245439842,0.0332722761417806,2.7914216646504433,0.01,true
pueblo,-1.2304918383220418,0.04760166346665756,-25.849765506281855,0,true
tv,0.13610583410914145,0.03847326146437204,3.537673410796782,0,true
alberca,0.3963204582084625,0.03496301446598776,11.335420136441767,0,true
estacionamiento,0.1284168879116212,0.044309423950704946,2.8981845499613663,0,true
gimnasio,0.09302903481901836,0.06624485352845629,1.4043209376115022,0.16,false
bar,0.2147549670309914,0.03649735851081019,5.884123558349651,0,true
