Variable,Observaciones,Media,Desviación Estandar,Minimo,1Q,2Q (Mediana),3Q,Maximo
precio,1019,3455.432777,3008.034546,217,1455.5,2341,4610,25738
vistaalmar,1019,0.14720314,0.354482285,0,0,0,0,1
superficie,1019,46.52698724,50.97923234,15,25,35,50,1000
capacidad,1019,2.291462218,0.710872428,1,2,2,2,4
aire_ac,1019,0.875368008,0.330463354,0,1,1,1,1
wifi,1019,0.792934249,0.405402037,0,1,1,1,1
balcon,1019,0.519136408,0.499879003,0,0,1,1,1
terraza,1019,0.450441609,0.497782214,0,0,0,1,1
pueblo,1019,0.65063788,0.477002639,0,0,1,1,1
tv,1019,0.374877331,0.484328936,0,0,0,1,1
alberca,1019,0.584887144,0.492983442,0,0,1,1,1
estacionamiento,1019,0.84592738,0.361195622,0,1,1,1,1
gimnasio,1019,0.05986261,0.237348609,0,0,0,0,1
bar,1019,0.485770363,0.500042896,0,0,0,1,1
